tenure,MonthlyCharges,TotalCharges,Contract,InternetService,TechSupport,PaperlessBilling,PaymentMethod,SeniorCitizen,Partner,Dependents,Churn
11,536.61,5878.72,One year,DSL,No,Yes,Credit card,0,Yes,No,1
72,551.94,39600.2,Month-to-month,DSL,No,Yes,Electronic check,1,No,No,0
31,732.06,22692.55,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,0
21,910.21,19077.32,Month-to-month,DSL,No,Yes,Bank transfer,0,Yes,No,1
4,1074.08,4380.74,Month-to-month,DSL,Yes,No,Mailed check,0,Yes,No,0
4,559.05,2206.91,Month-to-month,No,No,Yes,Credit card,0,Yes,No,1
1,1247.81,1192.92,One year,Fiber optic,Yes,Yes,Bank transfer,1,No,No,1
48,718.66,34521.22,Month-to-month,No,No,Yes,Credit card,0,Yes,No,1
22,793.59,17425.95,One year,No,No,No,Electronic check,1,Yes,Yes,0
29,575.84,16660.29,Two year,Fiber optic,Yes,Yes,Credit card,0,Yes,No,0
0,200.0,25.48,Month-to-month,DSL,Yes,Yes,Electronic check,1,No,No,1
72,1065.21,76643.36,Month-to-month,Fiber optic,No,Yes,Credit card,0,Yes,No,0
42,1021.05,42811.37,Month-to-month,No,No,Yes,Electronic check,0,No,No,1
5,715.6,3664.31,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
4,820.1,3309.36,One year,Fiber optic,No,No,Credit card,0,No,No,0
4,954.78,3805.92,Month-to-month,DSL,Yes,Yes,Mailed check,0,No,No,1
8,331.24,2649.72,Month-to-month,No,No,No,Mailed check,0,No,No,1
17,641.28,10927.12,Two year,Fiber optic,No,Yes,Credit card,0,No,No,0
13,1038.28,13546.3,Month-to-month,No,No,No,Mailed check,1,No,Yes,0
8,423.71,3351.91,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,1
22,888.07,19555.79,Two year,DSL,No,Yes,Electronic check,0,Yes,Yes,0
3,393.03,1153.74,One year,DSL,No,No,Credit card,1,No,No,1
8,939.93,7509.98,Two year,Fiber optic,Yes,No,Bank transfer,1,No,No,0
10,789.31,7901.11,One year,DSL,No,Yes,Mailed check,0,No,No,0
14,315.46,4416.11,Two year,DSL,No,Yes,Electronic check,0,No,No,0
36,1149.42,41415.96,Month-to-month,No,Yes,No,Bank transfer,0,No,No,0
5,579.62,2922.47,One year,DSL,No,Yes,Electronic check,0,Yes,Yes,1
17,556.92,9392.3,Two year,No,No,Yes,Electronic check,0,No,Yes,0
21,860.17,17995.69,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,0
1,1144.59,1126.11,Month-to-month,No,No,Yes,Electronic check,0,No,No,0
22,495.25,10987.01,Month-to-month,Fiber optic,No,No,Electronic check,0,No,Yes,1
4,818.5,3231.44,Month-to-month,No,Yes,No,Bank transfer,1,No,Yes,1
1,928.64,918.23,Month-to-month,No,No,No,Electronic check,0,Yes,No,1
71,1007.93,71536.33,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,0
72,852.93,61383.44,One year,DSL,No,Yes,Electronic check,0,Yes,No,1
39,689.89,26914.69,One year,DSL,No,Yes,Bank transfer,0,No,No,0
8,551.72,4483.82,Month-to-month,Fiber optic,Yes,Yes,Bank transfer,0,No,Yes,1
2,825.84,1674.48,One year,No,No,Yes,Bank transfer,0,Yes,No,1
27,478.36,12875.5,Month-to-month,Fiber optic,No,Yes,Electronic check,1,No,Yes,1
13,200.0,2737.66,Month-to-month,Fiber optic,No,Yes,Electronic check,0,No,No,1
3,930.97,2796.83,Month-to-month,DSL,No,Yes,Electronic check,0,Yes,No,1
16,1071.18,17110.03,Month-to-month,No,No,No,Mailed check,0,Yes,No,0
0,200.0,70.6,Month-to-month,No,No,No,Credit card,0,No,No,1
57,497.08,28310.15,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
7,985.75,6983.37,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
26,1417.25,36804.93,Two year,DSL,No,Yes,Electronic check,0,No,No,0
8,806.24,6521.41,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
17,581.6,9897.24,One year,Fiber optic,No,No,Bank transfer,0,Yes,No,0
18,745.13,13476.91,One year,DSL,No,Yes,Bank transfer,0,No,No,1
4,1212.46,4944.94,One year,Fiber optic,Yes,Yes,Credit card,0,Yes,Yes,0
72,606.21,43590.54,Two year,DSL,No,Yes,Mailed check,0,Yes,No,0
35,560.24,19672.27,Month-to-month,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,1
67,655.18,43826.41,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,0
54,514.0,27703.72,Two year,DSL,No,Yes,Bank transfer,1,No,No,0
21,836.8,17532.65,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
61,1287.4,78556.8,One year,Fiber optic,No,Yes,Mailed check,0,Yes,No,0
2,896.92,1795.5,One year,Fiber optic,Yes,Yes,Bank transfer,0,No,Yes,0
5,724.29,3613.11,One year,DSL,No,No,Bank transfer,0,No,No,0
1,712.46,719.77,Two year,Fiber optic,No,Yes,Credit card,0,No,No,0
9,331.04,3008.95,Two year,No,No,No,Bank transfer,0,No,No,0
11,1064.93,11747.67,One year,DSL,Yes,Yes,Credit card,0,Yes,No,1
7,776.65,5491.25,Month-to-month,DSL,No,No,Electronic check,0,No,No,1
42,745.86,31416.95,Two year,DSL,No,Yes,Bank transfer,0,No,Yes,0
10,1757.93,17578.25,Month-to-month,Fiber optic,No,Yes,Credit card,0,No,No,0
7,889.63,6201.33,Month-to-month,DSL,No,Yes,Mailed check,0,No,Yes,0
18,574.46,10371.01,Two year,Fiber optic,No,No,Credit card,0,No,No,1
3,672.09,1959.07,Month-to-month,Fiber optic,No,No,Bank transfer,1,No,No,1
38,1144.53,43458.35,Month-to-month,Fiber optic,No,Yes,Electronic check,1,No,No,0
1,833.98,883.95,Month-to-month,Fiber optic,No,No,Bank transfer,0,No,No,1
72,368.52,26526.99,Two year,Fiber optic,Yes,Yes,Electronic check,0,Yes,No,0
35,1075.77,37591.49,Month-to-month,Fiber optic,No,No,Credit card,0,Yes,Yes,1
5,599.56,2923.29,One year,DSL,No,No,Credit card,1,Yes,No,0
0,1361.99,2.44,Month-to-month,DSL,Yes,Yes,Electronic check,0,No,Yes,0
40,1124.01,45017.67,One year,No,Yes,Yes,Electronic check,1,No,No,0
29,665.8,19364.73,One year,DSL,No,No,Bank transfer,0,Yes,Yes,0
31,1184.3,36719.0,Month-to-month,Fiber optic,Yes,No,Electronic check,0,No,No,0
35,820.36,28812.93,Month-to-month,No,No,No,Electronic check,1,No,No,0
1,1055.83,1050.59,Month-to-month,DSL,Yes,No,Mailed check,0,No,No,1
10,945.42,9447.27,Two year,Fiber optic,No,Yes,Mailed check,0,Yes,Yes,0
2,546.09,963.81,One year,Fiber optic,Yes,No,Electronic check,0,No,No,1
47,606.94,28503.58,Two year,No,Yes,Yes,Credit card,0,No,No,0
23,1108.99,25549.33,Month-to-month,No,No,No,Credit card,0,No,No,0
9,699.57,6374.3,One year,Fiber optic,No,Yes,Bank transfer,0,No,Yes,1
1,678.91,637.39,One year,DSL,Yes,Yes,Credit card,0,No,No,0
8,513.46,4130.82,One year,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
9,927.08,8396.06,Two year,Fiber optic,No,Yes,Electronic check,0,No,Yes,0
31,1418.76,43982.04,Month-to-month,Fiber optic,No,Yes,Electronic check,1,Yes,No,0
24,479.74,11399.6,Month-to-month,DSL,No,No,Bank transfer,0,Yes,No,1
52,807.27,41990.19,One year,DSL,No,No,Credit card,0,Yes,No,0
15,1223.67,18393.06,One year,Fiber optic,No,Yes,Bank transfer,0,Yes,Yes,0
3,776.11,2280.95,One year,Fiber optic,No,No,Credit card,0,Yes,Yes,0
29,935.71,27122.93,Month-to-month,DSL,Yes,No,Bank transfer,1,No,Yes,0
34,481.28,16305.81,Month-to-month,Fiber optic,No,Yes,Mailed check,0,No,No,1
19,928.49,17512.84,Month-to-month,No,No,Yes,Mailed check,0,Yes,No,1
35,743.86,26086.34,Month-to-month,Fiber optic,No,No,Electronic check,0,No,No,1
16,1095.72,17531.32,One year,DSL,No,No,Electronic check,0,Yes,No,0
17,1156.22,19735.55,One year,DSL,No,Yes,Bank transfer,1,Yes,Yes,0
13,1576.87,20542.16,Month-to-month,DSL,No,No,Mailed check,1,No,Yes,1
0,973.89,0.0,Month-to-month,No,No,Yes,Bank transfer,0,No,No,1
2,897.74,1791.32,Month-to-month,Fiber optic,No,Yes,Bank transfer,1,No,Yes,1
0,858.32,28.31,Month-to-month,Fiber optic,No,Yes,Electronic check,0,Yes,No,1
24,694.05,16705.55,One year,Fiber optic,No,Yes,Mailed check,0,No,No,0
9,901.55,8130.04,Two year,Fiber optic,No,No,Mailed check,0,No,Yes,1
17,711.38,12148.73,Month-to-month,No,Yes,No,Mailed check,0,No,No,1
57,850.54,48465.85,One year,Fiber optic,No,Yes,Credit card,0,Yes,No,0
6,1195.28,7121.82,Two year,DSL,No,Yes,Mailed check,1,No,No,0
